District ,Name,Party,Gender
1,Ted Gaines,R,M
2,Mike McGuire,D,M
3,Lois Wolk ,D,F
4,Jim Nielsen ,R,M
5,Cathleen Galgiani ,D,F
6,Richard Pan ,D,M
7,Steven M. Glazer ,D,M
8,Tom Berryhill ,R,M
9,Loni Hancock ,D,F
10,Bob Wieckowski ,D,M
11,Mark Leno ,D,M
12,Anthony Cannella ,R,M
13,Jerry Hill ,D,M
14,Andy Vidak ,R,M
15,Jim Beall ,D,M
16,Jean Fuller ,R,F
17,Bill Monning ,D,M
18,Robert M. Hertzberg ,D,M
19,Hannah-Beth Jackson ,D,F
20,Connie M. Leyva ,D,F
21,Vacant,,
22,Ed Hernandez ,D,M
23,Mike Morrell ,R,M
24,Kevin de Le—n ,D,M
25,Carol Liu ,D,F
26,Benjamin Allen ,D,M
27,Fran Pavley ,D,F
28,Jeff Stone ,R,M
29,Bob Huff ,R,M
30,Holly J. Mitchell ,D,F
31,Richard D. Roth ,D,M
32,Tony Mendoza ,D,M
33,Ricardo Lara ,D,M
34,Janet Nguyen ,R,F
35,"Isadore Hall, III ",D,M
36,Patricia C. Bates ,R,F
37,John M. W. Moorlach ,R,M
38,Joel Anderson ,R,M
39,Marty Block ,D,M
40,Ben Hueso,D,M